"","federal_subject","cases","recov","deaths","active","edit_date"
"169","Republic of Crimea",7,0,0,7,"13:02 26 March 2020"
"170","Tula Oblast",7,0,0,7,"13:02 26 March 2020"
"171","Kirov Oblast",7,0,0,7,"13:02 26 March 2020"
"172","Pskov Oblast",6,0,0,6,"13:02 26 March 2020"
"173","Voronezh Oblast",6,0,0,6,"13:02 26 March 2020"
"174","Khabarovsk Krai",5,0,0,5,"13:02 26 March 2020"
"175","Chelyabinsk Oblast",5,0,0,5,"13:02 26 March 2020"
"176","Novosibirsk Oblast",5,0,0,5,"13:02 26 March 2020"
"177","Lipetsk Oblast",5,3,0,2,"13:02 26 March 2020"
"178","Bashkortostan",4,0,0,4,"13:02 26 March 2020"
"179","Kabardino-Balkaria",4,0,0,4,"13:02 26 March 2020"
"180","Orenburg Oblast",4,0,0,4,"13:02 26 March 2020"
"181","Khanty-Mansi Autonomous Okrug",4,0,0,4,"13:02 26 March 2020"
"182","Komi Republic",3,0,0,3,"13:02 26 March 2020"
"183","Arkhangelsk Oblast",3,0,0,3,"13:02 26 March 2020"
"184","Leningrad Oblast",3,0,0,3,"13:02 26 March 2020"
"185","Tambov Oblast",3,0,0,3,"13:02 26 March 2020"
"186","Tver Oblast",3,0,0,3,"13:02 26 March 2020"
"187","Kemerovo Oblast",3,1,0,2,"13:02 26 March 2020"
"188","Tyumen Oblast",3,1,0,2,"13:02 26 March 2020"
"189","Buryatia",2,0,0,2,"13:02 26 March 2020"
"190","Khakassia",2,0,0,2,"13:02 26 March 2020"
"191","Udmurtia",2,0,0,2,"13:02 26 March 2020"
"192","Primorsky Krai",2,0,0,2,"13:02 26 March 2020"
"193","Stavropol Krai",2,0,0,2,"13:02 26 March 2020"
"194","Bryansk Oblast",2,0,0,2,"13:02 26 March 2020"
"195","Kaluga Oblast",2,0,0,2,"13:02 26 March 2020"
"196","Oryol Oblast",2,0,0,2,"13:02 26 March 2020"
"197","Penza Oblast",2,0,0,2,"13:02 26 March 2020"
"198","Ryazan Oblast",2,0,0,2,"13:02 26 March 2020"
"199","Tomsk Oblast",2,0,0,2,"13:02 26 March 2020"
"200","Chechnya",1,0,0,1,"13:02 26 March 2020"
"201","Chuvashia",1,0,0,1,"13:02 26 March 2020"
"202","Belgorod Oblast",1,0,0,1,"13:02 26 March 2020"
"203","Ivanovo Oblast",1,0,0,1,"13:02 26 March 2020"
"204","Kurgan Oblast",1,0,0,1,"13:02 26 March 2020"
"205","Murmansk Oblast",1,0,0,1,"13:02 26 March 2020"
"206","Novgorod Oblast",1,0,0,1,"13:02 26 March 2020"
"207","Rostov Oblast",1,0,0,1,"13:02 26 March 2020"
"208","Saratov Oblast",1,0,0,1,"13:02 26 March 2020"
"209","Ulyanovsk Oblast",1,0,0,1,"13:02 26 March 2020"
"210","Volgograd Oblast",1,0,0,1,"13:02 26 March 2020"
"211","Yaroslavl Oblast",1,0,0,1,"13:02 26 March 2020"
"212","Zabaykalsky Krai",1,1,0,0,"13:02 26 March 2020"
"213","Moscow",703,18,3,682,"08:48 27 March 2020"
"214","Moscow Oblast",49,8,0,41,"08:48 27 March 2020"
"215","Saint Petersburg",26,5,0,21,"08:48 27 March 2020"
"216","Sverdlovsk Oblast",20,0,0,20,"08:48 27 March 2020"
"217","Republic of Crimea",19,0,0,19,"08:48 27 March 2020"
"218","Yakutia",14,0,0,14,"08:48 27 March 2020"
"219","Samara Oblast",14,0,0,14,"08:48 27 March 2020"
"220","Tatarstan",11,1,0,10,"08:48 27 March 2020"
"221","Perm Krai",10,0,0,10,"08:48 27 March 2020"
"222","Krasnodar Krai",9,0,0,9,"08:48 27 March 2020"
"223","Tula Oblast",8,0,0,8,"08:48 27 March 2020"
"224","Kaliningrad Oblast",8,1,0,7,"08:48 27 March 2020"
"225","Nizhny Novgorod Oblast",8,1,0,7,"08:48 27 March 2020"
"226","Kirov Oblast",8,2,0,6,"08:48 27 March 2020"
"227","Krasnoyarsk Krai",8,3,0,5,"08:48 27 March 2020"
"228","Pskov Oblast",6,0,0,6,"08:48 27 March 2020"
"229","Voronezh Oblast",6,0,0,6,"08:48 27 March 2020"
"230","Khabarovsk Krai",5,0,0,5,"08:48 27 March 2020"
"231","Stavropol Krai",5,0,0,5,"08:48 27 March 2020"
"232","Chelyabinsk Oblast",5,0,0,5,"08:48 27 March 2020"
"233","Novosibirsk Oblast",5,0,0,5,"08:48 27 March 2020"
"234","Lipetsk Oblast",5,3,0,2,"08:48 27 March 2020"
"235","Bashkortostan",4,0,0,4,"08:48 27 March 2020"
"236","Kabardino-Balkaria",4,0,0,4,"08:48 27 March 2020"
"237","Udmurtia",4,0,0,4,"08:48 27 March 2020"
"238","Orenburg Oblast",4,0,0,4,"08:48 27 March 2020"
"239","Volgograd Oblast",4,0,0,4,"08:48 27 March 2020"
"240","Khanty-Mansi Autonomous Okrug",4,0,0,4,"08:48 27 March 2020"
"241","Chechnya",3,0,0,3,"08:48 27 March 2020"
"242","Komi Republic",3,0,0,3,"08:48 27 March 2020"
"243","Arkhangelsk Oblast",3,0,0,3,"08:48 27 March 2020"
"244","Leningrad Oblast",3,0,0,3,"08:48 27 March 2020"
"245","Oryol Oblast",3,0,0,3,"08:48 27 March 2020"
"246","Tambov Oblast",3,0,0,3,"08:48 27 March 2020"
"247","Tver Oblast",3,0,0,3,"08:48 27 March 2020"
"248","Kemerovo Oblast",3,1,0,2,"08:48 27 March 2020"
"249","Tyumen Oblast",3,1,0,2,"08:48 27 March 2020"
"250","Buryatia",2,0,0,2,"08:48 27 March 2020"
"251","Khakassia",2,0,0,2,"08:48 27 March 2020"
"252","Mordovia",2,0,0,2,"08:48 27 March 2020"
"253","Primorsky Krai",2,0,0,2,"08:48 27 March 2020"
"254","Bryansk Oblast",2,0,0,2,"08:48 27 March 2020"
"255","Ivanovo Oblast",2,0,0,2,"08:48 27 March 2020"
"256","Kaluga Oblast",2,0,0,2,"08:48 27 March 2020"
"257","Penza Oblast",2,0,0,2,"08:48 27 March 2020"
