"","place","link","tables_present","test_tables","hospital_and_test","hospital_test_region","test_region"
"87","London","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_London",0,0,0,0,0
"88","Montserrat","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Montserrat",0,0,0,0,0
"89","Zimbabwe","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Zimbabwe",0,0,0,0,0
"90","Pennsylvania","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Pennsylvania",1,0,0,0,0
"91","Tanzania","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Tanzania",0,0,0,0,0
"92","Martinique","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Martinique",0,0,0,0,0
"93","Connecticut","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Connecticut",1,0,1,0,0
"94","Guam","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Guam",0,0,0,0,0
"95","Madagascar","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Madagascar",0,0,0,0,0
"96","Antigua and Barbuda","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Antigua_and_Barbuda",0,0,0,0,0
"97","Maine","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Maine",1,0,1,0,0
"98","Eswatini","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Eswatini",0,0,0,0,0
"99","Trinidad and Tobago","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Trinidad_and_Tobago",0,0,0,0,0
"100","South Sudan","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_South_Sudan",0,0,0,0,0
"101","Mississippi","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Mississippi",1,0,0,0,0
"102","Angola","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Angola",0,0,0,0,0
"103","the Republic of the Congo","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_the_Republic_of_the_Congo",0,0,0,0,0
"104","Guinea","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Guinea",0,0,0,0,0
"105","Djibouti","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Djibouti",0,0,0,0,0
"106","the Falkland Islands","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_the_Falkland_Islands",0,0,0,0,0
"107","Cape Verde","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Cape_Verde",0,0,0,0,0
