"","city_province","number_of_cases","notes","edit_date","discharged","deaths"
"113","Hai Duong",1,NA,"23:57, 19 March 2020",NA,NA
"114","Hanoi",24,NA,"23:57, 19 March 2020",NA,NA
"115","Ho Chi Minh City",17,NA,"23:57, 19 March 2020",NA,NA
"116","Quang Nam",3,NA,"23:57, 19 March 2020",NA,NA
"117","Quang Ninh",6,NA,"23:57, 19 March 2020",NA,NA
"118","Khanh Hoa",1,NA,"23:57, 19 March 2020",NA,NA
"119","Lao Cai",2,NA,"23:57, 19 March 2020",NA,NA
"120","Ninh Binh",1,NA,"23:57, 19 March 2020",NA,NA
"121","Ninh Thuan",2,NA,"23:57, 19 March 2020",NA,NA
"122","Thanh Hoa",1,NA,"23:57, 19 March 2020",NA,NA
"123","Thua Thien Hue",2,NA,"23:57, 19 March 2020",NA,NA
"124","Vinh Phuc",11,NA,"23:57, 19 March 2020",NA,NA
"125","15 cities and provinces",85,NA,"23:57, 19 March 2020",NA,NA
"126","Bac Ninh",1,NA,"19:31, 20 March 2020",0,NA
"127","Binh Thuan",9,NA,"19:31, 20 March 2020",0,NA
"128","Da Nang",4,NA,"19:31, 20 March 2020",0,NA
"129","Hai Duong",1,NA,"19:31, 20 March 2020",0,NA
"130","Hanoi",27,NA,"19:31, 20 March 2020",0,NA
"131","Ho Chi Minh City",20,NA,"19:31, 20 March 2020",3,NA
"132","Quang Nam",3,NA,"19:31, 20 March 2020",0,NA
"133","Quang Ninh",6,NA,"19:31, 20 March 2020",0,NA
"134","Khanh Hoa",1,NA,"19:31, 20 March 2020",1,NA
"135","Lao Cai",2,NA,"19:31, 20 March 2020",0,NA
"136","Ninh Binh",1,NA,"19:31, 20 March 2020",1,NA
"137","Ninh Thuan",2,NA,"19:31, 20 March 2020",0,NA
"138","Thanh Hoa",1,NA,"19:31, 20 March 2020",1,NA
"139","Thua Thien Hue",2,NA,"19:31, 20 March 2020",0,NA
"140","Vinh Phuc",11,NA,"19:31, 20 March 2020",11,NA
"141","15 cities and provinces",91,NA,"19:31, 20 March 2020",17,NA
"142","Bac Ninh",1,NA,"19:25, 21 March 2020",0,NA
"143","Binh Thuan",9,NA,"19:25, 21 March 2020",0,NA
"144","Da Nang",4,NA,"19:25, 21 March 2020",0,NA
"145","Hai Duong",1,NA,"19:25, 21 March 2020",0,NA
"146","Hanoi",29,NA,"19:25, 21 March 2020",0,NA
"147","Ho Chi Minh City",21,NA,"19:25, 21 March 2020",3,NA
"148","Quang Nam",3,NA,"19:25, 21 March 2020",0,NA
"149","Quang Ninh",6,NA,"19:25, 21 March 2020",0,NA
"150","Khanh Hoa",1,NA,"19:25, 21 March 2020",1,NA
"151","Lao Cai",2,NA,"19:25, 21 March 2020",0,NA
"152","Ninh Binh",1,NA,"19:25, 21 March 2020",1,NA
"153","Ninh Thuan",2,NA,"19:25, 21 March 2020",0,NA
"154","Thanh Hoa",1,NA,"19:25, 21 March 2020",1,NA
"155","Thua Thien Hue",2,NA,"19:25, 21 March 2020",0,NA
"156","Vinh Phuc",11,NA,"19:25, 21 March 2020",11,NA
"157","15 cities and provinces",94,NA,"19:25, 21 March 2020",17,NA
"158","Bac Ninh",1,NA,"15:29, 22 March 2020",0,NA
"159","Binh Thuan",9,NA,"15:29, 22 March 2020",0,NA
"160","Da Nang",4,NA,"15:29, 22 March 2020",0,NA
"161","Dong Thap",4,NA,"15:29, 22 March 2020",0,NA
"162","Hai Duong",1,NA,"15:29, 22 March 2020",0,NA
"163","Hanoi",34,NA,"15:29, 22 March 2020",0,NA
"164","Ho Chi Minh City",27,NA,"15:29, 22 March 2020",3,NA
"165","Hung Yen",2,NA,"15:29, 22 March 2020",0,NA
"166","Khanh Hoa",1,NA,"15:29, 22 March 2020",1,NA
"167","Lao Cai",2,NA,"15:29, 22 March 2020",0,NA
"168","Ninh Binh",1,NA,"15:29, 22 March 2020",1,NA
